id,year,sex,trip,tdr,duration,distance,range_max,prop_time_diving,straightness_index
F0422_1_SD,2022,F,3,0,370.75,137.73711655505423,48.003246936002135,0.010107816711590296,0.6312057987463036
F0422_20_SD,2022,M,1,1,122.5,69.99926401889816,26.778424402261436,0.014256619144602852,0.7389892164186767
F0422_20_SD,2022,M,2,1,305.5,128.69292643914721,51.05401850363863,0.014717906786590351,0.8336171980648771
F0422_20_SD,2022,M,3,1,378.25,148.77911374287334,46.247142523593006,0.015852047556142668,0.5159559444777385
F0422_20_SD,2022,M,4,1,243.25,111.68010781053148,47.3754451997432,0.015400410677618069,0.7881810667797545
F0422_21_SD,2022,M,1,1,439.0,195.9784503574163,63.313999786561816,0.0199203187250996,0.589172582527189
F0422_21_SD,2022,M,2,1,187.25,102.86938338501314,41.403139982302164,0.02266666666666667,0.7589222863302081
F0422_21_SD,2022,M,3,1,341.5,118.22182966985582,42.18220158963972,0.006583760058522311,0.5921396891323815
F0422_22_SD,2022,F,1,1,46.0,32.36452921024265,15.253040135370643,0.005405405405405406,0.9226521553801228
F0422_22_SD,2022,F,2,1,497.25,227.37033364666195,88.76756980228427,0.008542713567839196,0.6992752592432875
F0422_22_SD,2022,F,3,1,125.75,77.52438397920929,31.093443510768797,0.011904761904761904,0.7996263785558043
F0422_22_SD,2022,F,4,1,146.5,65.37234982971182,24.068389870297658,0.01192504258943782,0.842345331754827
F0422_23_SD,2022,M,1,1,281.75,171.94788479343035,78.49137559632096,0.005319148936170213,0.9304608454870018
F0422_23_SD,2022,M,2,1,408.5,180.88611032720146,67.73438271645978,0.014678899082568808,0.7728456493002215
F0422_23_SD,2022,M,3,1,208.0,93.6174550311546,36.97031800605948,0.012004801920768308,0.8911257195710852
F0422_24_SD,2022,F,1,1,165.0,87.93572746165201,31.650972442728765,0.0045385779122541605,0.8815618935889155
F0422_24_SD,2022,F,2,1,271.0,148.88796872154577,58.01644096553269,0.010138248847926268,0.7449654583755306
F0422_24_SD,2022,F,3,1,202.75,98.15159574386148,34.114685859781936,0.020935960591133004,0.8754171617128127
F0422_24_SD,2022,F,4,1,164.0,72.59177594323718,22.690519489820986,0.0121765601217656,0.6362277754855461
F0422_25_SD,2022,F,1,1,246.0,143.44353244171504,61.639881186448,0.014213197969543147,0.8065554397133748
F0422_25_SD,2022,F,2,1,219.75,95.22833100855904,35.20065990207322,0.026136363636363635,0.6524527581108197
